eventurl,imageurl,eventname,description,attendees,day,date,time,timezone,eventtype,attendees_range
https://www.meetup.com/toronto-modern-data/events/304733491/?recId=03d746f3-d038-4237-8721-4ae6170412bc&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/9/e/2/1/event_524860481.webp?w=640,Toronto Modern Data Stack - December 2024 Meetup,Toronto Modern Data Stack,145.0,Friday,2024-12-06,06:00 PM,EST,Inperson,100+
https://www.meetup.com/to-nerd-herd/events/304690051/?recId=2c86b327-be04-4d36-a2a1-a5d51886f406&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/c/2/0/3/event_521809667.webp?w=640,Let's go to - Midnight Arcade,Toronto Nerd Herd,11.0,Friday,2024-12-06,07:00 PM,EST,Online Event,10-50
https://www.meetup.com/black-flag-blockchain-enthusiast-meetup/events/304651041/?recId=6afa3354-e40b-4439-aaf8-ca298426e5e1&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/8/7/c/8/event_524794760.webp?w=640,🏴 Black Flag monthly meetup,Black Flag Blockchain Enthusiast Meetup,4.0,Friday,2024-12-06,06:00 PM,EST,Online Event,1-10
https://www.meetup.com/large-scale-scrum-less-in-nyc/events/304220091/?recId=3fe37e17-c111-4d2b-9879-9e5c663c94c2&recSource=ml-popular-events-nearby&searchId=8ac9277d-6670-4fb3-8544-a74bef439d41&eventOrigin=find_page$online,https://secure.meetupstatic.com/photos/event/9/e/6/0/event_524320544.webp?w=640,Life Cycle of “Agile Power Tower”. EoL Expectations. Alternatives.,"Lean, Agile and Large-Scale Product Development (LeSS)",53.0,Friday,2024-12-06,12:00 PM,EST,Online Event,50-100
https://www.meetup.com/data-umbrella/events/304729005/?recId=251c7b67-c8a5-4a68-81b6-f9dfea325528&recSource=ml-popular-events-nearby-online&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/7/b/a/9/event_524851657.webp?w=640,[Community Partnership] PyLadiesCon 2024 (Online & Free),Data Umbrella,7.0,Friday,2024-12-06,01:00 PM,EST,Inperson,1-10
https://www.meetup.com/toronto-bruce-trail-club/events/304652544/?recId=8cf85f28-e8b9-4347-b284-88340bf10f39&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/8/c/6/1/event_524795937.webp?w=640,15% off MEC & TBTC Club Day @ MEC North York,Toronto Bruce Trail Club,5.0,Friday,2024-12-06,10:00 AM,EST,Online Event,1-10
https://www.meetup.com/large-scale-scrum-less-in-nyc/events/304220091/?recId=ca0207f6-e21e-4cc7-b673-e4499d180105&recSource=ml-popular-events-nearby-online&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/9/e/6/0/event_524320544.webp?w=640,Life Cycle of “Agile Power Tower”. EoL Expectations. Alternatives.,"Lean, Agile and Large-Scale Product Development (LeSS)",72.0,Friday,2024-12-06,12:00 PM,EST,Online Event,50-100
https://www.meetup.com/toronto-non-denominational-christian-fellowship-meetup-group/events/304506757/?recId=c3a3bbd0-13e0-4b88-840e-ad9888299fa9&recSource=ml-popular-events-nearby&searchId=a0435745-3c24-44c6-b804-9752785aa970&eventOrigin=find_page$inPerson,https://secure.meetupstatic.com/photos/event/d/c/d/0/event_515036528.webp?w=640,Let's meet up for an online Bible Study...,Toronto Non-Denominational Christian Fellowship Meetup Group,1.0,Friday,2024-12-06,07:30 PM,EST,Inperson,1-10
https://www.meetup.com/toronto-bruce-trail-club/events/304652973/?recId=0683506d-db7d-48f5-887b-4bf7ba0240f2&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/8/c/6/1/event_524795937.webp?w=640,TBTC Club Day At MEC Downtown Toronto (Queen Street),Toronto Bruce Trail Club,7.0,Friday,2024-12-06,03:00 PM,EST,Online Event,1-10
https://www.meetup.com/toronto-movies-and-social-group/events/304130259/?recId=02d51eab-9a71-479f-a9d6-184b3d0b90eb&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/c/5/1/0/event_499970448.webp?w=640,Holiday Party & Gift Exchange @ Mandarin!,Toronto Movies & Social Group - Celebrating 12 Years!,9.0,Saturday,2024-12-07,06:45 PM,EST,Online Event,1-10
