eventurl,imageurl,eventname,description,attendees,day,date,time,timezone,eventtype,attendees_range
https://www.meetup.com/toronto-spiritual-experiences-group/events/304220866/?recId=6382d02c-5011-4f02-a053-484afd2904d0&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/b/b/c/event_516603004.webp?w=640,Awaken to Higher Consciousness   --  Tune into the Sound Current with HU,The Toronto Spiritual Experiences Group - Eckankar,9.0,Sunday,2024-11-03,08:15 PM,EST,Inperson,1-10
https://www.meetup.com/drink-draw-toronto/events/304166290/?recId=26f18846-8715-4bb2-9ec4-d1d2c14e5c5c&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/8/e/3/8/event_524256408.webp?w=640,Drink & Draw Toronto #61: November Vibes 🍂 🍵 🍁 ☕,Drink and Draw Toronto,27.0,Monday,2024-11-04,08:00 PM,EST,Inperson,10-50
https://www.meetup.com/toronto-soccer-meetup/events/304040527/?recId=c0332665-87c6-4f2b-8f7e-2315b61d1dd4&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/d/a/e/9/event_465836041.webp?w=640,"Cherry Beach: Soccer, 11 a side *READ DETAILS*",Toronto Soccer Meetup,3.0,Monday,2024-11-04,08:00 PM,EST,Inperson,1-10
https://www.meetup.com/cocktails-coffee/events/304260268/?recId=1af47e74-0b9f-4043-9cb2-07fcb5da4187&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/b/5/2/3/event_524386371.webp?w=640,Cocktails: Get Well,Cocktails and Coffee,10.0,Monday,2024-11-04,07:30 PM,EST,Inperson,10-50
https://www.meetup.com/improve-your-relationship-washington-dc/events/304043951/?recId=7066ff87-e5ce-44df-8ca4-f248631b13f8&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/7/5/4/event_504005972.webp?w=640,How To Be More Extroverted And Expand Your Social Life!,"Improve Your Relationship, Washington DC",16.0,Monday,2024-11-04,07:00 PM,EST,Inperson,10-50
https://www.meetup.com/toronto-thelema-occult-meetups/events/304088331/?recId=971205f7-d6f6-4bd6-9728-d77383b19665&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/b/3/9/4/event_524145972.webp?w=640,Monthly Thelemic Meetup,Toronto Thelema Occult Meetups,5.0,Monday,2024-11-04,07:00 PM,EST,Inperson,1-10
https://www.meetup.com/philadelphia-professionals-thriving-with-adhd/events/304270178/?recId=3f3dd219-6d61-4f4e-a68b-26d845da685f&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/e/4/d/5/event_524398581.webp?w=640,Back to Basics: An 8DHD Mastermind,Philadelphia Professionals Thriving With ADHD,12.0,Monday,2024-11-04,06:00 PM,EST,Inperson,10-50
https://www.meetup.com/sevenhillscameraclub/events/302693614/?recId=5e317710-e51b-496c-9442-c8a25869a816&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/7/a/5/event_522781957.webp?w=640,Move us with Movement,Seven Hills Camera Club (7HCC),18.0,Monday,2024-11-04,07:00 PM,EST,Inperson,10-50
https://www.meetup.com/columbus-science-group/events/303709560/?recId=fcfb117b-91a5-4ee1-8f59-b486c346bda5&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/6/5/6/e/event_523765966.webp?w=640,"Earth's Second Moon and Other Tales of Asteroids, Meteors and Comets",Columbus Science Group,11.0,Monday,2024-11-04,07:00 PM,EST,Inperson,10-50
https://www.meetup.com/wordpress-montclair-meetup/events/304161779/?recId=3f3dd219-6d61-4f4e-a68b-26d845da685f&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/5/8/a/event_523805514.webp?w=640,WordCamp Montclair 2025 Planning Meeting (Not a Regular Meetup),WordPress Montclair Meetup,9.0,Monday,2024-11-04,07:30 PM,EST,Inperson,1-10
https://www.meetup.com/students-of-spiritual-alchemy/events/303064374/?recId=bd65e744-d40f-462c-bce1-55a821b0e92c&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/3/3/8/5/event_523153189.webp?w=640,Exploring Mantras and Mala Beads,Students of Spiritual Alchemy,16.0,Monday,2024-11-04,07:30 PM,EST,Inperson,10-50
https://www.meetup.com/toronto-gaymers/events/304126148/?recId=015c85c9-2b2c-4b65-aa08-9423bcab42f0&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/6/8/0/c/event_520586636.webp?w=640,"DIY Chill, Craft & Chat",Toronto Gaymers,12.0,Monday,2024-11-04,05:00 PM,EST,Inperson,10-50
https://www.meetup.com/meetup-group-evuxjtdb/events/303963897/?recId=bd65e744-d40f-462c-bce1-55a821b0e92c&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/6/6/4/2/event_524006178.webp?w=640,Toronto Speed Dating | 25Dates.com | M40-55/W39-49,Speed Dating for Singles,2.0,Monday,2024-11-04,07:00 PM,EST,Inperson,1-10
https://www.meetup.com/beer-171/events/304326388/?recId=015c85c9-2b2c-4b65-aa08-9423bcab42f0&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/a/2/c/event_522602604.webp?w=640,Are you Smarter than a Scottish Guy Trivia - One Eyed Jack's Richmond Street,Toronto Beer Lovers,12.0,Tuesday,2024-11-05,06:30 PM,EST,Inperson,10-50
https://www.meetup.com/ylab_at_ddo/events/304351066/?recId=ecd364a3-8142-44ac-b78a-cac8beaa8459&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/6/5/4/event_504425716.webp?w=640,Maker Space Open House! At the David Dunlap Observatory!,"Ylab Maker Space at  David Dunlap Observatory, Richmond Hill",2.0,Tuesday,2024-11-05,07:30 PM,EST,Inperson,1-10
https://www.meetup.com/the-toronto-philosophy-meetup/events/304277098/?recId=b9db0f93-4bbb-49dc-ae96-1ea615f2e597&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/3/3/8/event_524404920.webp?w=640,[In-person] Curiosity Café: Paying Attention (Ticketed Event),The Toronto Philosophy Meetup,7.0,Tuesday,2024-11-05,06:00 PM,EST,Inperson,1-10
https://www.meetup.com/zashikkusu/events/304355089/?recId=23d19495-c046-40ec-a28f-ba4c2856bab8&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/7/1/5/7/event_506969015.webp?w=640,Practice English with board games!,Za Shikkusu「ザ・シックス」,3.0,Tuesday,2024-11-05,06:00 PM,EST,Inperson,1-10
https://www.meetup.com/toronto-unreal-engine-meetup/events/304150428/?recId=a54fce0a-dc93-4d3a-a30e-6e45e2d3c7a8&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/5/5/e/0/event_524241984.webp?w=640,Unreal Engine Toronto #23 - The Motion Edition - with Toronto Motion Meetup!,Toronto Unreal Engine Meetup,112.0,Tuesday,2024-11-05,07:00 PM,EST,Inperson,100+
https://www.meetup.com/brontenhc/events/304310176/?recId=6382d02c-5011-4f02-a053-484afd2904d0&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/8/5/1/3/event_524434067.webp?w=640,Rain Meditation,Bronte Natural Health Clinic,4.0,Tuesday,2024-11-05,07:00 PM,EST,Inperson,1-10
https://www.meetup.com/torontoai/events/303912652/?recId=2f0a2d97-01a7-4156-8ff3-76d729469cd1&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/b/a/b/8/event_523967800.webp?w=640,Monthly Tech and AI Connect over Beer,Toronto AI Meetup,32.0,Tuesday,2024-11-05,05:00 PM,EST,Inperson,10-50
https://www.meetup.com/brontenhc/events/304310176/?recId=1e20fdd6-78b8-4d80-a882-0584b858e47b&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/8/5/1/3/event_524434067.webp?w=640,Rain Meditation,Bronte Natural Health Clinic,4.0,Tuesday,2024-11-05,07:00 PM,EST,Inperson,1-10
https://www.meetup.com/map-of-army/events/303775535/?recId=6382d02c-5011-4f02-a053-484afd2904d0&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/8/8/c/6/event_523835014.webp?w=640,The Return of HOBI | Map of ARMY,Map of ARMY - A BTS Fan Group,13.0,Tuesday,2024-11-05,08:30 PM,EST,Inperson,10-50
https://www.meetup.com/in-her-bible-woman-s-fellowship-bible-study-group/events/304174220/?recId=5e317710-e51b-496c-9442-c8a25869a816&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/5/2/8/b/event_521541131.webp?w=640,RSVP LADIES “In Her Bible”- Women’s Bible Study Session (Online). Join Us !,“In Her Bible”,9.0,Tuesday,2024-11-05,07:30 PM,EST,Inperson,1-10
https://www.meetup.com/torontopsychedelic/events/300441473/?recId=1e20fdd6-78b8-4d80-a882-0584b858e47b&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/3/4/d/2/event_510673522.webp?w=640,Let's Talk Psychedelics! (Online),The Toronto Psychedelic Society,6.0,Tuesday,2024-11-05,07:00 PM,EST,Inperson,1-10
https://www.meetup.com/singles-supporting-singles/events/303941413/?recId=015c85c9-2b2c-4b65-aa08-9423bcab42f0&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/2/a/1/0/event_523990768.webp?w=640,Singles Supporting Singles! (How to Find and Make a Modern Relationship Work?),Singles Supporting Singles! (Group Talks and Dances),26.0,Tuesday,2024-11-05,07:00 PM,EST,Inperson,10-50
https://www.meetup.com/qlik-meetup-toronto/events/303488964/?recId=07dac0d8-4fb0-45d9-9ce8-d6e41c268e01&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/6/7/a/0/event_524126528.webp?w=640,GINQO Data Lounge | Qlik and Talend Meetup - November 2024,Qlik and Talend Meetup | Toronto,14.0,Tuesday,2024-11-05,05:30 PM,EST,Inperson,10-50
https://www.meetup.com/toronto-talend-user-group/events/303488935/?recId=1af47e74-0b9f-4043-9cb2-07fcb5da4187&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/6/7/9/a/event_524126522.webp?w=640,GINQO Data Lounge | Talend and Qlik Meetup - November 2024,Talend and Qlik Meetup | Toronto,8.0,Tuesday,2024-11-05,05:30 PM,EST,Inperson,1-10
https://www.meetup.com/toronto-real-estate-investors-association/events/303884319/?recId=2f0a2d97-01a7-4156-8ff3-76d729469cd1&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/5/c/c/4/event_523943748.webp?w=640,Let's chat about Real Estate - November 2024 meet up,Real Estate Investing Bliss Toronto,33.0,Tuesday,2024-11-05,07:00 PM,EST,Inperson,10-50
https://www.meetup.com/mens-work-upstate-ny/events/300867302/?recId=1af47e74-0b9f-4043-9cb2-07fcb5da4187&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/d/e/0/a/event_517736842.webp?w=640,Men's open talking circle,Mens Work Upstate New York,14.0,Tuesday,2024-11-05,07:00 PM,EST,Inperson,10-50
https://www.meetup.com/ppc-gta-meetup-group/events/303528754/?recId=015c85c9-2b2c-4b65-aa08-9423bcab42f0&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/e/4/4/c/event_512338444.webp?w=640,"USA Election Night Special PPC GTA Pub Night, At the Bull, a Firkin Pub",PPC GTA Meetup Group,7.0,Tuesday,2024-11-05,07:00 PM,EST,Inperson,1-10
https://www.meetup.com/philadelphia-eagle-vision-webinars/events/303969827/?recId=5e317710-e51b-496c-9442-c8a25869a816&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/7/7/8/8/event_524010600.webp?w=640,How to Generate Effortless Income Using AI,Philadelphia - Eagle Vision Coaching,9.0,Wednesday,2024-11-06,02:00 PM,EST,Inperson,1-10
https://www.meetup.com/euchre-fun/events/303450268/?recId=b9db0f93-4bbb-49dc-ae96-1ea615f2e597&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/9/f/f/e/event_506080958.webp?w=640,Wednesday Night Euchre,Downtown Toronto Euchre Fun,11.0,Wednesday,2024-11-06,07:30 PM,EST,Inperson,10-50
https://www.meetup.com/the-west-toronto-photography-group/events/301604543/?recId=0dbbe5f3-945e-4ad2-825f-ae7cf54a7273&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/e/0/2/0/event_521697376.webp?w=640,"Wtpg is at ProFusion 2024, Canada’s largest Photo, Video & Cinema Industry Event",The West Toronto Photography Group,7.0,Wednesday,2024-11-06,11:00 AM,EST,Inperson,1-10
https://www.meetup.com/psychedelics-and-limitless-personal-growth/events/303783940/?recId=3f3dd219-6d61-4f4e-a68b-26d845da685f&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/d/b/f/4/event_519956308.webp?w=640,Psychedelics 101: Coffee & Conversation (Zoom),Psychedelics & Limitless Personal Growth,14.0,Wednesday,2024-11-06,12:00 PM,EST,Inperson,10-50
https://www.meetup.com/torontojs/events/302199759/?recId=a54fce0a-dc93-4d3a-a30e-6e45e2d3c7a8&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/9/c/0/0/event_522279936.webp?w=640,UIUX Design: In Person Talk,Toronto JavaScript,60.0,Wednesday,2024-11-06,06:30 PM,EST,Inperson,50-100
https://www.meetup.com/greater-toronto-travel-and-social-club/events/304134193/?recId=971205f7-d6f6-4bd6-9728-d77383b19665&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/5/1/5/event_524221301.webp?w=640,Dining in Diversity | Curryish in Queen West,🏆Toronto Social Club,7.0,Wednesday,2024-11-06,06:30 PM,EST,Inperson,1-10
https://www.meetup.com/toronto-movies-and-social-group/events/304304663/?recId=07dac0d8-4fb0-45d9-9ce8-d6e41c268e01&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/d/e/b/5/event_515697013.webp?w=640,Trivia Night @ Kramer's,Toronto Movies & Social Group - Celebrating 11 Years!,10.0,Wednesday,2024-11-06,06:30 PM,EST,Inperson,10-50
https://www.meetup.com/value-investors-toronto/events/303026304/?recId=23d19495-c046-40ec-a28f-ba4c2856bab8&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/6/6/f/c/event_508946364.webp?w=640,Value Investing at Downtown Location [TBD],Value Investing Toronto,20.0,Wednesday,2024-11-06,06:00 PM,EST,Inperson,10-50
https://www.meetup.com/research-triangle-powershell-users-group/events/304331467/?recId=7066ff87-e5ce-44df-8ca4-f248631b13f8&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/d/2/b/b/event_514493947.webp?w=640,Up Your PowerShell Knowledge with the PowerShell tiPS module (Dan Schroeder),Research Triangle PowerShell Users Group,36.0,Wednesday,2024-11-06,08:00 PM,EST,Inperson,10-50
https://www.meetup.com/psychedelic-yoga/events/303747258/?recId=07dac0d8-4fb0-45d9-9ce8-d6e41c268e01&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/2/d/2/e/event_523811566.webp?w=640,"Learn Lucid Dreaming, the Ultimate Psychedelic Practice",Psychedelic Yoga,36.0,Wednesday,2024-11-06,08:00 PM,EST,Inperson,10-50
https://www.meetup.com/tamclub/events/304059408/?recId=26f18846-8715-4bb2-9ec4-d1d2c14e5c5c&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/5/b/d/8/event_524123512.webp?w=640,"Chat, Network and Language Exchange",Toronto Asian Meetup - TAM,11.0,Wednesday,2024-11-06,06:00 PM,EST,Inperson,10-50
https://www.meetup.com/start-a-business-work-from-home-ny/events/303922369/?recId=00910bf0-fd76-4d4e-bcec-679d2b7e2079&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/d/a/b/e/event_523975998.webp?w=640,Learn to Invest in the Stock Market for Financial Freedom & A Passive Income,Start a Business Work From Home NY,10.0,Wednesday,2024-11-06,08:00 PM,EST,Inperson,10-50
https://www.meetup.com/roya-training-the-art-of-face-reading/events/304237055/?recId=1af47e74-0b9f-4043-9cb2-07fcb5da4187&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/2/a/4/9/event_524350825.webp?w=640,Learn How to Face Read,Face Reading Enthusiasts,9.0,Wednesday,2024-11-06,06:00 PM,EST,Inperson,1-10
https://www.meetup.com/toronto-solo-world-travelers-and-emigrates/events/304329532/?recId=bd65e744-d40f-462c-bce1-55a821b0e92c&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/c/6/c/9/event_524450889.webp?w=640,First meetup for Toronto solo world travelers or emigrates,Toronto solo world travelers and emigrates,2.0,Wednesday,2024-11-06,07:00 PM,EST,Inperson,1-10
https://www.meetup.com/awakenintoronto/events/303042043/?recId=b3c8b687-3a5f-4db3-b338-ac591d499771&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/8/3/8/event_523682104.webp?w=640,Sacred Hands: The Power of Mudras and Prayers in Buddhist Meditation,Awaken in Toronto,7.0,Wednesday,2024-11-06,07:30 PM,EST,Inperson,1-10
https://www.meetup.com/unit814-20bluejaysway/events/304036567/?recId=1af47e74-0b9f-4043-9cb2-07fcb5da4187&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/0/d/1/event_524104305.webp?w=640,"Housekeepers, cleaners and Airbnb hosts social cocktail mixer",Toronto capital markets and airbnb group,7.0,Wednesday,2024-11-06,07:00 PM,EST,Inperson,1-10
https://www.meetup.com/ai-innovator-circle/events/304282750/?recId=971205f7-d6f6-4bd6-9728-d77383b19665&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/d/d/0/f/event_523976591.webp?w=640,AI POC Demo Day,AI Innovator's Circle,6.0,Wednesday,2024-11-06,06:30 PM,EST,Inperson,1-10
https://www.meetup.com/toronto-silent-book-club-meetup-group/events/304224931/?recId=2f0a2d97-01a7-4156-8ff3-76d729469cd1&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/next/images/fallbacks/group-cover-8-wide.webp?w=640,Silent Bookclub Meeting #16,Silent Book Club (Toronto),27.0,Wednesday,2024-11-06,06:00 PM,EST,Inperson,10-50
https://www.meetup.com/techinto/events/303889200/?recId=2f0a2d97-01a7-4156-8ff3-76d729469cd1&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/c/2/5/2/event_524089746.webp?w=640,🍸💻 Tech & Entrepreneurship Social Mixer ($20 fee - Buy Ticket From Website),TechinTO | The Hub for Entrepreneurs & Tech Talent,40.0,Wednesday,2024-11-06,06:30 PM,EST,Inperson,10-50
https://www.meetup.com/the-starseeds-and-lightworkers-collective/events/302757989/?recId=26f18846-8715-4bb2-9ec4-d1d2c14e5c5c&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/d/a/8/9/event_522835945.webp?w=640,The Path Towards Human Ascension,The Starseeds and Lightworkers Collective,22.0,Wednesday,2024-11-06,08:00 PM,EST,Inperson,10-50
https://www.meetup.com/toronto-public-library-small-business-networking-meetup/events/303429836/?recId=26f18846-8715-4bb2-9ec4-d1d2c14e5c5c&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/5/6/4/event_491225476.webp?w=640,Building a Revenue Engine: Social Media Marketing & Sales,Toronto Public Library Small Business Networking Meetup,17.0,Wednesday,2024-11-06,06:00 PM,EST,Inperson,10-50
https://www.meetup.com/markhamnetworkingmeetup/events/304253499/?recId=8e436db8-9cc2-4648-8afc-24e21bb04dcc&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/7/b/8/7/event_461671623.webp?w=640,Motivational Networking and Coffee,Markham Networking & Public Speaking Meetup,2.0,Thursday,2024-11-07,07:00 PM,EST,Inperson,1-10
https://www.meetup.com/not-another-support-group/events/304166433/?recId=5e317710-e51b-496c-9442-c8a25869a816&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/c/9/2/event_523327314.webp?w=640,Not Another Support Group Meeting,Not Another Support Group,14.0,Thursday,2024-11-07,06:30 PM,EST,Inperson,10-50
https://www.meetup.com/toronto-gta-cashflow-club/events/303612132/?recId=07dac0d8-4fb0-45d9-9ce8-d6e41c268e01&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/1/c/a/3/event_523687331.webp?w=640,Cashflow Game Night: Wealth Building Strategies,Toronto (GTA) Cashflow Club,18.0,Thursday,2024-11-07,05:30 PM,EST,Inperson,10-50
https://www.meetup.com/torontoecomnetwork/events/304028126/?recId=a54fce0a-dc93-4d3a-a30e-6e45e2d3c7a8&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/e/7/e/1/event_523679361.webp?w=640,E-Commerce Entrepreneurs Meetup 🥳 NOV 7TH,Toronto Ecom Network,114.0,Thursday,2024-11-07,07:00 PM,EST,Inperson,100+
https://www.meetup.com/tech-sisters-unite-new-hampshire/events/303871325/?recId=5e317710-e51b-496c-9442-c8a25869a816&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/b/d/9/event_523923033.webp?w=640,"Women's book club: ""The Gift of Imperfection: Embrace Who You Are.""",Tech Sisters (Women in Tech),12.0,Thursday,2024-11-07,06:00 PM,EST,Inperson,10-50
https://www.meetup.com/metro-toronto-azure-community/events/300513485/?recId=a54fce0a-dc93-4d3a-a30e-6e45e2d3c7a8&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/a/2/8/3/event_516941603.webp?w=640,Roundtable:Azure IoT in the era of AI | Medallion Arch. with Azure Data Explorer,Metro Toronto Azure Community,64.0,Thursday,2024-11-07,05:30 PM,EST,Inperson,50-100
https://www.meetup.com/tokidoki/events/304319437/?recId=1af47e74-0b9f-4043-9cb2-07fcb5da4187&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/5/d/7/5/event_524003925.webp?w=640,日本語と英語の勉強会と軽い言語ゲーム Japanese & English Language Exchange,時々 Tokidoki - Japanese Meetup (20s/30s),10.0,Thursday,2024-11-07,05:30 PM,EST,Inperson,10-50
https://www.meetup.com/chicago-data-science-ml-ai-platform/events/303992678/?recId=3f3dd219-6d61-4f4e-a68b-26d845da685f&recSource=ml-popular-events-nearby&searchId=33dd435a-7917-41ff-b95b-556fdd16f0ac&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/b/4/c/f/event_524266287.webp?w=640,Assessing Data Science Education in the Age of Generative AI,"Chicago Data Science, ML, AI Platform",15.0,Thursday,2024-11-07,04:00 PM,EST,Inperson,10-50
